messageId,T1,T2,T2_5,T3,T4,RTT_Total
msg_1755335008766_bsyffr9nf,1755335008766,1755335007227,1755335007381,1755335009179,1755335009402,636
msg_1755335011281_4pv5bhhr1,1755335011281,1755335009744,1755335009882,1755335011680,1755335011904,623
msg_1755335013781_a17o0nllv,1755335013781,1755335012246,1755335012303,1755335014101,1755335014320,539
msg_1755335016282_9ew5fwmtd,1755335016282,1755335014746,1755335014897,1755335016696,1755335016920,638
msg_1755335018794_t7s30396d,1755335018794,1755335017261,1755335017589,1755335019387,1755335019608,814
msg_1755335021309_x2vjwie92,1755335021309,1755335019772,1755335019894,1755335021692,1755335021914,605
msg_1755335023816_xouhlyww3,1755335023816,1755335022277,1755335022377,1755335024176,1755335024399,583
msg_1755335026322_alt9nu8dc,1755335026322,1755335024787,1755335024937,1755335026736,1755335026954,632
msg_1755335028831_8wwzm9kph,1755335028831,1755335027295,1755335027588,1755335029386,1755335029610,779
msg_1755335031342_okho6ypp3,1755335031342,1755335029808,1755335029899,1755335031698,1755335031923,581
msg_1755335033847_2w2elzqun,1755335033847,1755335032313,1755335032378,1755335034177,1755335034401,554
msg_1755335036354_yze36vv9o,1755335036354,1755335034813,1755335034892,1755335036690,1755335036917,563
msg_1755335038854_j8fxabm5i,1755335038854,1755335037320,1755335037589,1755335039388,1755335039608,754
msg_1755335041362_ta6h2ioc1,1755335041362,1755335039826,1755335039888,1755335041686,1755335041909,547
msg_1755335043870_mmjjurs6o,1755335043870,1755335042333,1755335042392,1755335044190,1755335044410,540
msg_1755335046373_255hnmpll,1755335046373,1755335044833,1755335044900,1755335046699,1755335046922,549
msg_1755335048886_clvq6vkr7,1755335048886,1755335047349,1755335047592,1755335049391,1755335049608,722
msg_1755335051392_a10nfic15,1755335051392,1755335049859,1755335050115,1755335051914,1755335052135,743
msg_1755335053901_z1ffwlq7z,1755335053901,1755335052368,1755335052522,1755335054321,1755335054538,637
msg_1755335056401_ldpqwh97z,1755335056401,1755335054865,1755335055183,1755335056981,1755335057204,803
msg_1755335058905_2v40fhge8,1755335058905,1755335057367,1755335057602,1755335059403,1755335059622,717
msg_1755335061420_7nojo5hjg,1755335061420,1755335059884,1755335060404,1755335062203,1755335062422,1002
msg_1755335063934_lae2wd82u,1755335063934,1755335062397,1755335062585,1755335064384,1755335064605,671
msg_1755335066438_lfbaadgag,1755335066438,1755335064901,1755335065004,1755335066802,1755335067024,586
msg_1755335068945_qylxbk2l9,1755335068945,1755335067406,1755335067592,1755335069391,1755335069610,665
msg_1755335071447_so3hnopes,1755335071447,1755335069909,1755335069995,1755335071793,1755335072016,569
msg_1755335073954_gi07ugj8m,1755335073954,1755335072415,1755335072482,1755335074281,1755335074502,548
msg_1755335076467_lhhllztog,1755335076467,1755335074928,1755335075208,1755335077006,1755335077225,758
msg_1755335078969_yrc3966mw,1755335078969,1755335077429,1755335077666,1755335079464,1755335079686,717
msg_1755335081479_m5kv7hjs8,1755335081479,1755335079944,1755335080095,1755335081893,1755335082119,640
msg_1755335083990_7fn3dn2nn,1755335083990,1755335082451,1755335082523,1755335084321,1755335084540,550
msg_1755335086504_kvf9ik8oj,1755335086504,1755335084964,1755335085093,1755335086892,1755335087111,607
msg_1755335089017_06hjfsey1,1755335089017,1755335087478,1755335087594,1755335089392,1755335089611,594
msg_1755335091531_c99n5e999,1755335091531,1755335089998,1755335090092,1755335091891,1755335092110,579
msg_1755335094039_zg28st9bx,1755335094039,1755335092502,1755335092600,1755335094399,1755335094623,584
msg_1755335096552_u9bc5qvdm,1755335096552,1755335095018,1755335095168,1755335096967,1755335097186,634
msg_1755335099053_2fermi158,1755335099053,1755335097517,1755335097623,1755335099422,1755335099642,589
msg_1755335101553_b53ucp8tp,1755335101553,1755335100016,1755335100083,1755335101881,1755335102100,547
msg_1755335104061_ynzu1a0bm,1755335104061,1755335102521,1755335102580,1755335104379,1755335104598,537
msg_1755335106567_dxo19bbop,1755335106567,1755335105027,1755335105176,1755335106975,1755335107194,627
msg_1755335109070_uyfe2seo2,1755335109070,1755335107533,1755335107600,1755335109398,1755335109619,549
msg_1755335111580_o75xfphx6,1755335111580,1755335110045,1755335110203,1755335112001,1755335112223,643
msg_1755335114082_76txyaex8,1755335114082,1755335112542,1755335112633,1755335114432,1755335114656,574
msg_1755335116583_ulem42ynj,1755335116583,1755335115048,1755335115572,1755335117371,1755335117620,1037
msg_1755335119094_ggwswl71j,1755335119094,1755335117554,1755335117655,1755335119453,1755335119674,580
msg_1755335121594_rcig0bt6p,1755335121594,1755335120060,1755335120479,1755335122277,1755335122497,903
msg_1755335124103_pvx4qucpg,1755335124103,1755335122568,1755335122650,1755335124449,1755335124670,567
msg_1755335126615_apy4dky6q,1755335126615,1755335125074,1755335125246,1755335127045,1755335127266,651
msg_1755335129127_59f1wcsvf,1755335129127,1755335127591,1755335127647,1755335129446,1755335129667,540
msg_1755335131633_qcgj83bmi,1755335131633,1755335130096,1755335130201,1755335132000,1755335132224,591
msg_1755335134138_nuhy4wn36,1755335134138,1755335132602,1755335132694,1755335134492,1755335134718,580
msg_1755335136654_shvct59k4,1755335136654,1755335135116,1755335135198,1755335136996,1755335137216,562
msg_1755335139169_poouslfr3,1755335139169,1755335137628,1755335137752,1755335139551,1755335139769,600
msg_1755335141683_d0z2koy4l,1755335141683,1755335140147,1755335140297,1755335142095,1755335142318,635
msg_1755335144186_h5zv0qivm,1755335144186,1755335142646,1755335142778,1755335144576,1755335144802,616
msg_1755335146686_sgkz4r2p5,1755335146686,1755335145146,1755335145356,1755335147154,1755335147374,688
msg_1755335149201_2dxem5gop,1755335149201,1755335147664,1755335147723,1755335149522,1755335149742,541
msg_1755335151713_fnaktfjn0,1755335151713,1755335150175,1755335150299,1755335152098,1755335152322,609
msg_1755335154217_xnpftj435,1755335154217,1755335152681,1755335152739,1755335154538,1755335154761,544
msg_1755335156719_3zrvpcwpy,1755335156719,1755335155180,1755335155293,1755335157091,1755335157314,595
msg_1755335159230_v5cakptlg,1755335159230,1755335157694,1755335157759,1755335159557,1755335159779,549
msg_1755335161736_940y3cx60,1755335161736,1755335160200,1755335160311,1755335162109,1755335162326,590
