messageId,T1,T2,T2_5,T3,T4,RTT_Total,MQTT_to_WebSocket,WebSocket_Processing,Django_Processing,Django_to_Frontend,Frontend_to_MQTT
msg_1755148656858_qygyfo7nb,1755148656858,1755148656317,1755148656379,1755148657195,1755148657413,555,-541,62,62,816,218
msg_1755148659373_j0fbnxjo5,1755148659373,1755148658830,1755148658965,1755148659781,1755148659997,624,-543,135,135,816,216
msg_1755148661881_v8fhlayb2,1755148661881,1755148661340,1755148661399,1755148662216,1755148662432,551,-541,59,59,817,216
msg_1755148664385_lll5rtf6e,1755148664385,1755148663833,1755148663995,1755148664811,1755148665029,644,-552,162,162,816,218
msg_1755148666894_ugdax2q0x,1755148666894,1755148666352,1755148666476,1755148667293,1755148667511,617,-542,124,124,817,218
msg_1755148669396_dy8vdhi35,1755148669396,1755148668849,1755148668993,1755148669809,1755148670037,641,-547,144,144,816,228
msg_1755148671906_c9o3l2xoi,1755148671906,1755148671355,1755148671478,1755148672296,1755148672517,611,-551,123,123,818,221
msg_1755148674408_g4kw3taxp,1755148674408,1755148673866,1755148674086,1755148674902,1755148675118,710,-542,220,220,816,216
msg_1755148676914_fdj5dbr6x,1755148676914,1755148676373,1755148676430,1755148677246,1755148677464,550,-541,57,57,816,218
msg_1755148679421_pjoogoqtj,1755148679422,1755148678875,1755148678987,1755148679803,1755148680019,597,-547,112,112,816,216
msg_1755148681935_2ei9lw311,1755148681935,1755148681389,1755148681480,1755148682296,1755148682512,577,-546,91,91,816,216
msg_1755148684444_x2fl5gueg,1755148684444,1755148683899,1755148683988,1755148684804,1755148685026,582,-545,89,89,816,222
msg_1755148686960_81idxsbne,1755148686960,1755148686412,1755148686504,1755148687320,1755148687539,579,-548,92,92,816,219
msg_1755148689463_hghfeq9hi,1755148689463,1755148688915,1755148689141,1755148689957,1755148690172,709,-548,226,226,816,215
msg_1755148691977_vt8qyqh9d,1755148691977,1755148691433,1755148691512,1755148692328,1755148692548,571,-544,79,79,816,220
msg_1755148694489_7awbmd0wq,1755148694489,1755148693944,1755148694079,1755148694895,1755148695117,628,-545,135,135,816,222
msg_1755148696993_a2j018uc9,1755148696993,1755148696444,1755148696585,1755148697402,1755148697682,689,-549,141,141,817,280
msg_1755148699497_6p9aq4ns8,1755148699497,1755148698953,1755148699090,1755148699906,1755148700131,634,-544,137,137,816,225
msg_1755148702003_d668r5yze,1755148702003,1755148701459,1755148701578,1755148702394,1755148702610,607,-544,119,119,816,216
msg_1755148704510_sm0bxsg8l,1755148704510,1755148703964,1755148704092,1755148704908,1755148705128,618,-546,128,128,816,220
msg_1755148707016_rgbpqamhr,1755148707016,1755148706472,1755148706576,1755148707392,1755148707611,595,-544,104,104,816,219
msg_1755148709519_m6d7po1a3,1755148709519,1755148708974,1755148709093,1755148709909,1755148710127,608,-545,119,119,816,218
msg_1755148712033_kn0snmclq,1755148712033,1755148711486,1755148711551,1755148712367,1755148712595,562,-547,65,65,816,228
msg_1755148714547_vedsvjjss,1755148714547,1755148714005,1755148714093,1755148714909,1755148715132,585,-542,88,88,816,223
msg_1755148717058_6arvyit7g,1755148717058,1755148716523,1755148716596,1755148717412,1755148717632,574,-535,73,73,816,220
msg_1755148719564_qq38rwe69,1755148719564,1755148719012,1755148719093,1755148719909,1755148720133,569,-552,81,81,816,224
msg_1755148722070_v4nvyug35,1755148722070,1755148721521,1755148721576,1755148722392,1755148722611,541,-549,55,55,816,219
msg_1755148724571_r3ocp9vql,1755148724571,1755148724029,1755148724160,1755148724976,1755148725192,621,-542,131,131,816,216
msg_1755148727073_xwqidbkbp,1755148727073,1755148726526,1755148726597,1755148727413,1755148727634,561,-547,71,71,816,221
msg_1755148729573_s8k3iyut1,1755148729573,1755148729023,1755148729097,1755148729913,1755148730134,561,-550,74,74,816,221
